DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
10/15/2014,603.73,606.4,596.5,604.29,124370
10/16/2014,603.11,603.59,585.76,587.17,169570
10/17/2014,585.95,591.85,577.79,585.28,130530
10/20/2014,588.38,593.2,585.7,589.24,82450
10/21/2014,590.17,601.14,588.75,600.55,87100
10/22/2014,600.27,603.97,598.99,601.59,101800
10/23/2014,598.87,602.02,593.11,593.53,151030
10/24/2014,592.66,595.33,588.72,591.51,93570
10/27/2014,590.33,591.59,580.02,580.8,104190
10/28/2014,578.73,584.43,578.44,583.13,116560
10/29/2014,585.68,591.83,585.68,591.2,100310
10/30/2014,593.09,594.3,589.14,589.14,96460
10/31/2014,591.12,600.84,588.16,600.84,132330
11/3/2014,603.44,606.94,602.51,603.15,123870
11/4/2014,601.55,604.47,598.39,598.39,116130
11/5/2014,599.64,602.53,593.53,597.01,146010
11/6/2014,599.2,601.28,596.73,597.85,93440
11/7/2014,598.41,603.32,597.73,602.59,125600
11/10/2014,604.75,607.5,602.12,602.12,138820
11/11/2014,603.48,608.68,601.85,604.23,136610
11/12/2014,605.14,606.36,603.12,604.01,126580
11/13/2014,605.25,607.29,602.62,603.16,157540
11/14/2014,601.69,602.51,596.95,600.36,145110
11/17/2014,602.4,604.63,600.93,600.93,114410
11/18/2014,600.86,602.53,594.25,594.25,143920
11/19/2014,594.88,597.29,588.35,588.35,162360
11/20/2014,592.17,594.76,589.84,593.32,152660
11/21/2014,594.71,596.02,588.03,588.03,160140
11/24/2014,585.08,586.54,580.92,582.53,115960
11/25/2014,583.53,588.42,583.53,585.91,114070
11/26/2014,587.58,588.16,575.09,576.04,162040
11/27/2014,575.63,575.82,567.36,572.89,117670
11/28/2014,570.61,572.12,565.1,566.58,145680
12/1/2014,566.22,571.69,565.09,568.01,123860
12/2/2014,570.44,570.79,568.55,569.43,101630
12/3/2014,570.48,575.95,570.44,574.88,119140
12/4/2014,576.63,581.27,576.63,578.38,108390
12/5/2014,578.52,582.42,578.18,578.76,106680
12/8/2014,577.44,577.44,569.24,571.68,113550
12/9/2014,567.55,567.55,554.51,555.31,191550
12/10/2014,550.35,558.47,544.78,557.19,119410
12/11/2014,549.78,557.96,547.55,550.11,95720
12/12/2014,547.69,554.82,547.69,553.93,77360
12/15/2014,550.8,554.35,547.93,547.93,84730
12/16/2014,545.33,545.66,535,535.14,128020
12/17/2014,535.27,536.64,513.06,518.22,171360
12/18/2014,522.9,528.6,521.33,528.45,113300
12/19/2014,527.61,533.3,522.1,523.09,180820
12/22/2014,527.28,537.54,527.28,537.54,98810
12/23/2014,535.61,543.22,532.78,537.88,110200
12/24/2014,540.46,541.73,536.79,539.44,70680
12/25/2014,536.21,537.47,531.52,532.01,89290
12/26/2014,531.84,537.89,527.41,533.37,105310
12/29/2014,533.37,538.83,528.63,532.68,104110
